Stn Code,Sampling Date,State,City/Town/Village/Area,Location of Monitoring Station,Agency,Type of Location,SO2,NO2,RSPM/PM10,PM 2.5
193,01-01-15,Assam,Guwahati,"Head Office, Bamunimaidan, Guwahati",Assam State Pollution Control Board,"Residential, Rural and other Areas",7,13,68,NA
193,02-01-15,Assam,Guwahati,"Head Office, Bamunimaidan, Guwahati",Assam State Pollution Control Board,"Residential, Rural and other Areas",6,14,70,NA
193,03-01-15,Assam,Guwahati,"Head Office, Bamunimaidan, Guwahati",Assam State Pollution Control Board,"Residential, Rural and other Areas",7,14,61,NA
193,05-01-15,Assam,Guwahati,"Head Office, Bamunimaidan, Guwahati",Assam State Pollution Control Board,"Residential, Rural and other Areas",6,13,60,NA
193,06-01-15,Assam,Guwahati,"Head Office, Bamunimaidan, Guwahati",Assam State Pollution Control Board,"Residential, Rural and other Areas",7,12,77,NA
193,07-01-15,Assam,Guwahati,"Head Office, Bamunimaidan, Guwahati",Assam State Pollution Control Board,"Residential, Rural and other Areas",7,13,96,NA
193,08-01-15,Assam,Guwahati,"Head Office, Bamunimaidan, Guwahati",Assam State Pollution Control Board,"Residential, Rural and other Areas",8,14,78,NA
193,09-01-15,Assam,Guwahati,"Head Office, Bamunimaidan, Guwahati",Assam State Pollution Control Board,"Residential, Rural and other Areas",7,13,74,NA
193,12-01-15,Assam,Guwahati,"Head Office, Bamunimaidan, Guwahati",Assam State Pollution Control Board,"Residential, Rural and other Areas",8,14,78,NA
193,13-01-15,Assam,Guwahati,"Head Office, Bamunimaidan, Guwahati",Assam State Pollution Control Board,"Residential, Rural and other Areas",8,13,66,NA
193,17-01-15,Assam,Guwahati,"Head Office, Bamunimaidan, Guwahati",Assam State Pollution Control Board,"Residential, Rural and other Areas",7,14,64,NA
193,19-01-15,Assam,Guwahati,"Head Office, Bamunimaidan, Guwahati",Assam State Pollution Control Board,"Residential, Rural and other Areas",7,14,61,NA
193,20-01-15,Assam,Guwahati,"Head Office, Bamunimaidan, Guwahati",Assam State Pollution Control Board,"Residential, Rural and other Areas",7,13,69,NA
